C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\center_2020_05_31_13_19_50_515.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\left_2020_05_31_13_19_50_515.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\right_2020_05_31_13_19_50_515.jpg,0,0,0,9.153881E-07
C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\center_2020_05_31_13_19_50_588.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\left_2020_05_31_13_19_50_588.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\right_2020_05_31_13_19_50_588.jpg,0,0,0,3.26096E-06
C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\center_2020_05_31_13_19_50_660.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\left_2020_05_31_13_19_50_660.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\right_2020_05_31_13_19_50_660.jpg,0,0,0,3.023906E-05
C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\center_2020_05_31_13_19_50_735.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\left_2020_05_31_13_19_50_735.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\right_2020_05_31_13_19_50_735.jpg,0,0,0,1.265496E-05
C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\center_2020_05_31_13_19_50_807.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\left_2020_05_31_13_19_50_807.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\right_2020_05_31_13_19_50_807.jpg,0,0,0,7.858589E-06
C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\center_2020_05_31_13_19_50_878.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\left_2020_05_31_13_19_50_878.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\right_2020_05_31_13_19_50_878.jpg,0,0,0,2.261566E-05
C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\center_2020_05_31_13_19_50_945.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\left_2020_05_31_13_19_50_945.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\right_2020_05_31_13_19_50_945.jpg,0,0.1520856,0,0.06921385
C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\center_2020_05_31_13_19_51_014.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\left_2020_05_31_13_19_51_014.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\right_2020_05_31_13_19_51_014.jpg,0,0.3828672,0,0.3182931
C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\center_2020_05_31_13_19_51_080.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\left_2020_05_31_13_19_51_080.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\right_2020_05_31_13_19_51_080.jpg,0,0.5580927,0,0.6836991
C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\center_2020_05_31_13_19_51_155.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\left_2020_05_31_13_19_51_155.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\right_2020_05_31_13_19_51_155.jpg,-0.1,0.8072995,0,1.365898
C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\center_2020_05_31_13_19_51_223.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\left_2020_05_31_13_19_51_223.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\right_2020_05_31_13_19_51_223.jpg,-0.25,0.9817816,0,2.002187
C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\center_2020_05_31_13_19_51_295.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\left_2020_05_31_13_19_51_295.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\right_2020_05_31_13_19_51_295.jpg,0,1,0,2.924537
C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\center_2020_05_31_13_19_51_362.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\left_2020_05_31_13_19_51_362.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\right_2020_05_31_13_19_51_362.jpg,0,1,0,3.627255
C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\center_2020_05_31_13_19_51_430.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\left_2020_05_31_13_19_51_430.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\right_2020_05_31_13_19_51_430.jpg,0,1,0,4.565603
C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\center_2020_05_31_13_19_51_498.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\left_2020_05_31_13_19_51_498.jpg,C:\Udacity\SelfDrivingCarND\Project4\CarND-Behavioral-Cloning-P3\simulator_images\IMG\right_2020_05_31_13_19_51_498.jpg,0,1,0,5.263043
